Date,Description,Amount,Currency,Converted_INR,Category
2025-10-09,NIKE PAYMENT,3188,INR,3188,Shopping
2025-01-17,GAS CYLINDER PAYMENT,29,USD,2421.5,Utilities
2024-05-22,DTH PAYMENT,135,GBP,14188.5,Utilities
2024-05-13,AIRTEL BILL PAYMENT,1557,INR,1557,Utilities
2024-06-24,WWW.CLINIC.COM,90,EUR,8028.0,Health
2025-10-30,TEA PAYMENT,6893,JPY,3791.15,Food
2025-04-03,IKEA PAYMENT,4673,INR,4673,Shopping
2024-01-23,SHIRT PAYMENT,120,EUR,10704.0,Shopping
2024-07-12,MEDICINE PAYMENT,2217,JPY,1219.35,Health
2024-04-05,APPLE MUSIC PAYMENT,1807,INR,1807,Entertainment
2025-06-01,DONATION PAYMENT,61,GBP,6411.1,General
2025-05-26,BROADBAND PAYMENT,126,EUR,11239.2,Utilities
2024-01-02,WATER BILL PAYMENT,137,GBP,14398.7,Utilities
2025-09-03,RENT PAYMENT,3840,INR,3840,Utilities
2025-07-03,NETMEDS PAYMENT,125,GBP,13137.5,Health
2024-07-17,WWW.APPLE STORE.COM,7483,JPY,4115.65,Shopping
2025-07-06,FLIGHT PAYMENT,95,USD,7932.5,Transport
2025-06-14,APOLLO PHARMACY PAYMENT,49,USD,4091.5,Health
2024-06-27,BREAKFAST PAYMENT,3172,INR,3172,Food
2025-10-05,CONCERT PAYMENT,147,EUR,13112.4,Entertainment
2024-03-03,TRAIN TICKET PAYMENT,4415,INR,4415,Transport
2025-04-27,DIESEL PAYMENT,3823,INR,3823,Transport
2025-07-06,DISNEY+ PAYMENT,99,USD,8266.5,Entertainment
2025-06-21,LPG PAYMENT,1490,JPY,819.5,Utilities
2025-06-18,SWIGGY PAYMENT,82,EUR,7314.4,Food
2024-02-24,TATA SKY PAYMENT,59,GBP,6200.9,Utilities
2025-06-15,OLA PAYMENT,3112,INR,3112,Transport
2024-07-16,DINNER PAYMENT,117,GBP,12296.7,Food
2024-04-01,SEND MONEY PAYMENT,97,USD,8099.5,General
2024-10-09,IPL MATCH PAYMENT,16,GBP,1681.6,Entertainment
2024-11-28,ATM WITHDRAWAL PAYMENT,10,GBP,1051.0,General
2025-04-13,KFC PAYMENT,26,USD,2171.0,Food
2025-11-14,POS / TATA SKY,83,GBP,8723.3,Utilities
2024-03-19,CONSULTATION PAYMENT,46,USD,3841.0,Health
2025-02-18,CASH PAYMENT,8,USD,668.0,General
2024-07-31,AMAZON PAYMENT,45,GBP,4729.5,Shopping
2025-06-15,DONATION PAYMENT,105,GBP,11035.5,General
2025-07-05,GYM PAYMENT,35,USD,2922.5,Health
2025-09-05,CONCERT PAYMENT,7365,JPY,4050.75,Entertainment
2024-09-25,PETROL PAYMENT,57,EUR,5084.4,Transport
2025-07-06,JIO FIBER PAYMENT,8582,JPY,4720.1,Utilities
2024-09-10,PHARMACY PAYMENT,1057,JPY,581.35,Health
2025-06-06,POS / CONCERT,3516,INR,3516,Entertainment
2025-08-15,NETFLIX PAYMENT,893,INR,893,Entertainment
2024-05-14,FLIPKART PAYMENT,3408,INR,3408,Shopping
2025-03-03,AIR INDIA PAYMENT,96,USD,8016.0,Transport
2024-06-29,REEBOK PAYMENT,1130,INR,1130,Shopping
2025-04-25,IKEA PAYMENT,1117,INR,1117,Shopping
2024-05-20,PETROL PAYMENT,104,EUR,9276.8,Transport
2024-10-23,TRAIN TICKET PAYMENT,87,USD,7264.5,Transport
2024-10-27,UPI-CASH-8254,14,EUR,1248.8,General
2025-05-24,UPI PAYMENT,47,USD,3924.5,General
2024-04-22,UBER PAYMENT,2444,INR,2444,Transport
2024-10-23,WWW.BURGER KING.COM,10,USD,835.0,Food
2024-07-01,GYM PAYMENT,3911,JPY,2151.05,Health
2024-04-23,HOUSE RENT PAYMENT,71,GBP,7462.1,Utilities
2025-05-15,WWW.LPG.COM,4199,JPY,2309.45,Utilities
2025-02-19,POS / UBER,121,EUR,10793.2,Transport
2024-05-19,XBOX PAYMENT,479,INR,479,Entertainment
2024-10-05,WATER BILL PAYMENT,2553,INR,2553,Utilities
2024-05-09,WWW.DENTIST.COM,10,GBP,1051.0,Health
2025-10-12,RAILWAY PAYMENT,2757,INR,2757,Transport
2025-04-26,SPA PAYMENT,118,EUR,10525.6,General
2024-12-15,JIO FIBER PAYMENT,8341,JPY,4587.55,Utilities
2024-03-03,GAS CYLINDER PAYMENT,22,EUR,1962.4,Utilities
2025-07-21,STATIONERY STORE,116,EUR,10347.2,General
2025-03-23,ZARA PAYMENT,623,INR,623,Shopping
2024-08-10,BREAKFAST PAYMENT,3451,INR,3451,Food
2025-07-09,CHARITY PAYMENT,3875,INR,3875,General
2025-06-09,INSURANCE PREMIUM PAYMENT,64,EUR,5708.8,Health
2025-01-03,HAIRCUT PAYMENT,2617,INR,2617,General
2024-04-08,ACT FIBERNET STORE,25,GBP,2627.5,Utilities
2024-12-07,TACO BELL PAYMENT,123,GBP,12927.3,Food
2024-03-02,PETROL PAYMENT,1902,INR,1902,Transport
2025-07-10,DENTIST PAYMENT,115,EUR,10258.0,Health
2025-04-02,APOLLO PHARMACY PAYMENT,124,EUR,11060.8,Health
2024-01-12,XEROX PAYMENT,10,USD,835.0,General
2024-08-28,PREPAID RECHARGE PAYMENT,19,EUR,1694.8,Utilities
2024-12-13,GOLD'S GYM PAYMENT,150,GBP,15765.0,Health
2024-01-22,JIO FIBER PAYMENT,127,EUR,11328.4,Utilities
2024-07-10,FLIPKART PAYMENT,78,GBP,8197.8,Shopping
2024-07-11,1MG PAYMENT,93,GBP,9774.3,Health
2024-11-13,AIR INDIA PAYMENT,1903,INR,1903,Transport
2024-06-13,ATM WITHDRAWAL PAYMENT,99,USD,8266.5,General
2025-02-24,GROCERY PAYMENT,21,EUR,1873.2,Food
2024-12-14,CULT FIT PAYMENT,37,EUR,3300.4,Health
2025-01-26,UPI PAYMENT,127,USD,10604.5,General
2025-01-09,H&M PAYMENT,15,EUR,1338.0,Shopping
2024-05-06,EVENT PAYMENT,14,EUR,1248.8,Entertainment
2024-07-24,ESPRESSO PAYMENT,1787,INR,1787,Food
2025-10-31,GAS CYLINDER PAYMENT,2727,INR,2727,Utilities
2024-02-29,LUNCH PAYMENT,112,GBP,11771.2,Food
2025-05-17,BROADBAND PAYMENT,8871,JPY,4879.05,Utilities
2025-06-03,SHOES PAYMENT,148,EUR,13201.6,Shopping
2025-09-19,POS / SALON,6494,JPY,3571.7,General
2024-10-20,KFC PAYMENT,70,GBP,7357.0,Food
2024-03-23,WWW.MYNTRA.COM,1440,JPY,792.0,Shopping
2024-09-15,PLAYSTATION PAYMENT,61,USD,5093.5,Entertainment
2025-04-04,WATER BILL PAYMENT,3873,INR,3873,Utilities
2024-07-13,CONCERT STORE,2513,JPY,1382.15,Entertainment
2024-08-28,POS / BAKERY,1827,INR,1827,Food
2024-08-31,INTERNET PAYMENT,43,EUR,3835.6,Utilities
2025-05-28,UPI-BURGER KING-6338,89,GBP,9353.9,Food
2024-11-22,MYNTRA PAYMENT,9094,JPY,5001.7,Shopping
2024-06-04,CONSULTATION PAYMENT,4193,INR,4193,Health
2024-08-15,SHELL STATION PAYMENT,6719,JPY,3695.45,Transport
2025-01-24,FRUITS PAYMENT,77,GBP,8092.7,Food
2025-06-24,SALON PAYMENT,148,USD,12358.0,General
2025-04-26,TATA SKY PAYMENT,22,EUR,1962.4,Utilities
2025-08-17,FLIPKART PAYMENT,139,USD,11606.5,Shopping
2024-02-03,GYM PAYMENT,144,GBP,15134.4,Health
2024-01-30,POSTPAID BILL PAYMENT,48,GBP,5044.8,Utilities
2025-01-24,SEND MONEY PAYMENT,3023,INR,3023,General
2024-01-17,NETMEDS PAYMENT,101,USD,8433.5,Health
2024-05-01,INSURANCE PREMIUM PAYMENT,7494,JPY,4121.7,Health
2025-06-03,SALON STORE,146,USD,12191.0,General
2024-03-18,POS / RAILWAY,57,EUR,5084.4,Transport
2025-09-26,CONCERT PAYMENT,39,GBP,4098.9,Entertainment
2024-08-09,TRAIN TICKET PAYMENT,3077,INR,3077,Transport
2024-04-20,XBOX PAYMENT,101,USD,8433.5,Entertainment
2024-12-06,GYM PAYMENT,17,GBP,1786.7,Health
2024-08-27,FRUITS PAYMENT,71,USD,5928.5,Food
2025-10-21,LAB TEST PAYMENT,2389,INR,2389,Health
2025-06-27,CINEMA PAYMENT,126,EUR,11239.2,Entertainment
2025-02-01,EVENT PAYMENT,67,GBP,7041.7,Entertainment
2025-07-04,CAPPUCCINO PAYMENT,146,GBP,15344.6,Food
2025-11-13,CONSULTATION PAYMENT,8711,JPY,4791.05,Health
2025-02-17,UPI-CAB-2002,49,GBP,5149.9,Transport
2025-01-29,MEDICINE PAYMENT,653,INR,653,Health
2024-06-08,DONATION STORE,20,GBP,2102.0,General
2025-09-08,ESPRESSO PAYMENT,143,GBP,15029.3,Food
2025-11-23,APOLLO PHARMACY PAYMENT,113,EUR,10079.6,Health
2025-02-09,THEATRE PAYMENT,3538,INR,3538,Entertainment
2024-07-07,SPA PAYMENT,80,GBP,8408.0,General
2024-04-25,ACT FIBERNET PAYMENT,8036,JPY,4419.8,Utilities
2024-05-16,BUS TICKET PAYMENT,95,GBP,9984.5,Transport
2025-12-04,YOUTUBE PREMIUM PAYMENT,1991,INR,1991,Entertainment
2024-03-14,TACO BELL STORE,3332,JPY,1832.6,Food
2025-11-28,PHARMACY PAYMENT,5089,JPY,2798.95,Health
2024-12-11,POS / BROADBAND,1456,INR,1456,Utilities
2025-04-02,CULT FIT PAYMENT,93,GBP,9774.3,Health
2024-05-26,AJIO PAYMENT,2259,INR,2259,Shopping
2024-09-06,STATIONERY PAYMENT,2479,INR,2479,General
2025-10-26,POS / TRANSFER,150,GBP,15765.0,General
2024-12-10,CAFE PAYMENT,7034,JPY,3868.7,Food
2025-04-01,WIFI PAYMENT,1190,INR,1190,Utilities
2024-06-28,ZARA PAYMENT,4823,JPY,2652.65,Shopping
2024-07-02,CAB PAYMENT,1932,JPY,1062.6,Transport
2025-03-16,POS / GYM,87,GBP,9143.7,Health
2025-02-08,POSTPAID BILL PAYMENT,146,EUR,13023.2,Utilities
2024-05-17,TEA PAYMENT,405,INR,405,Food
2024-02-27,UPI-POWER BILL-1291,12,GBP,1261.2,Utilities
2024-05-29,TRANSFER PAYMENT,9816,JPY,5398.8,General
2025-04-04,IKEA PAYMENT,1410,INR,1410,Shopping
2024-05-23,BURGER KING PAYMENT,786,INR,786,Food
2025-07-07,STEAM PAYMENT,140,EUR,12488.0,Entertainment
2024-08-10,GAS CYLINDER PAYMENT,96,EUR,8563.2,Utilities
2024-03-17,RESTAURANT PAYMENT,30,GBP,3153.0,Food
2024-10-02,AJIO PAYMENT,12,GBP,1261.2,Shopping
2024-01-01,CULT FIT STORE,192,INR,192,Health
2025-10-25,INTERNET PAYMENT,42,USD,3507.0,Utilities
2025-03-21,TABLETS PAYMENT,100,EUR,8920.0,Health
2025-10-22,CAPPUCCINO PAYMENT,117,GBP,12296.7,Food
2025-03-21,BLOOD TEST PAYMENT,6748,JPY,3711.4,Health
2024-10-10,MEDICINE PAYMENT,94,EUR,8384.8,Health
2025-07-30,SHOPPING PAYMENT,1412,INR,1412,Shopping
2024-04-11,SHELL STATION STORE,47,GBP,4939.7,Transport
2025-05-24,PHARMACY PAYMENT,31,EUR,2765.2,Health
2024-03-11,GYM STORE,4131,INR,4131,Health
2024-05-05,NIKE PAYMENT,51,GBP,5360.1,Shopping
2025-06-23,SHOES PAYMENT,106,USD,8851.0,Shopping
2025-12-05,TEA PAYMENT,92,GBP,9669.2,Food
2025-10-07,CLINIC PAYMENT,75,USD,6262.5,Health
2025-10-26,INTERNET PAYMENT,52,GBP,5465.2,Utilities
2025-07-23,WWW.SHOPPING.COM,140,GBP,14714.0,Shopping
2025-01-08,AIR INDIA PAYMENT,1531,JPY,842.05,Transport
2025-10-13,FUEL PAYMENT,5153,JPY,2834.15,Transport
2025-03-17,POS / ELECTRICITY BILL,2503,INR,2503,Utilities
2024-07-17,DONATION PAYMENT,14,GBP,1471.4,General
2025-04-22,UPI-PHARMACY-9122,4875,INR,4875,Health
2025-07-08,SNEAKERS PAYMENT,118,GBP,12401.8,Shopping
2024-09-05,XBOX PAYMENT,53,EUR,4727.6,Entertainment
2024-07-13,POS / BP PUMP,7,GBP,735.7,Transport
2025-06-01,TRAIN TICKET PAYMENT,17,USD,1419.5,Transport
2025-01-26,THEATRE STORE,4009,INR,4009,Entertainment
2025-03-08,PETROL PAYMENT,103,EUR,9187.6,Transport
2025-09-24,POST OFFICE PAYMENT,4714,JPY,2592.7,General
2024-06-19,UPI-PIZZA-3086,22,GBP,2312.2,Food
2025-02-17,ONEPLUS PAYMENT,98,EUR,8741.6,Shopping
2024-07-28,UPI-HOSPITAL-3373,138,GBP,14503.8,Health
2024-05-18,RESTAURANT PAYMENT,4998,INR,4998,Food
2024-08-22,AJIO PAYMENT,58,EUR,5173.6,Shopping
2025-08-09,APPLE MUSIC PAYMENT,8558,JPY,4706.9,Entertainment
2024-04-13,FUEL PAYMENT,120,GBP,12612.0,Transport
2025-08-30,HAIRCUT PAYMENT,8549,JPY,4701.95,General
2024-01-22,COFFEE PAYMENT,21,GBP,2207.1,Food
2025-05-08,CLOTHES PAYMENT,16,GBP,1681.6,Shopping
2024-02-18,EMIRATES PAYMENT,23,GBP,2417.3,Transport
2025-12-08,TABLETS PAYMENT,1773,JPY,975.15,Health
2024-03-03,WWW.PRINT.COM,146,GBP,15344.6,General
2024-03-03,SEND MONEY PAYMENT,42,USD,3507.0,General
2025-06-19,SUPERMARKET PAYMENT,4385,INR,4385,Food
2025-08-24,INSURANCE PREMIUM PAYMENT,7688,JPY,4228.4,Health
2024-11-12,FUEL PAYMENT,143,GBP,15029.3,Transport
2025-10-13,RENT PAYMENT,2707,INR,2707,Utilities
2024-03-24,POSTPAID BILL STORE,94,GBP,9879.4,Utilities
2024-09-07,POS / POST OFFICE,148,EUR,13201.6,General
2025-02-10,CAB PAYMENT,3906,INR,3906,Transport
2025-11-11,CHARITY PAYMENT,123,GBP,12927.3,General
2024-03-26,TATA SKY PAYMENT,65,EUR,5798.0,Utilities
2024-11-04,STARBUCKS PAYMENT,39,GBP,4098.9,Food
2025-12-03,TAXI PAYMENT,7,GBP,735.7,Transport
2025-03-27,CASH PAYMENT,15,GBP,1576.5,General
2025-03-24,UPI PAYMENT,150,EUR,13380.0,General
2025-04-23,EMIRATES PAYMENT,3962,INR,3962,Transport
2024-02-28,DIESEL PAYMENT,27,EUR,2408.4,Transport
2025-03-04,PRINT PAYMENT,3078,INR,3078,General
2025-11-25,ZOMATO PAYMENT,5,GBP,525.5,Food
2025-09-20,POS / DINNER,4648,JPY,2556.4,Food
2025-03-12,PVR PAYMENT,2348,INR,2348,Entertainment
2024-08-09,SALON PAYMENT,699,INR,699,General
2024-01-19,SHIRT PAYMENT,5,EUR,446.0,Shopping
2025-11-24,AIR INDIA PAYMENT,4523,JPY,2487.65,Transport
2025-03-14,STARBUCKS PAYMENT,21,USD,1753.5,Food
2025-04-30,DENTIST PAYMENT,1087,JPY,597.85,Health
2025-03-10,MYNTRA PAYMENT,58,EUR,5173.6,Shopping
2024-07-10,JIO FIBER PAYMENT,9849,JPY,5416.95,Utilities
2024-10-12,LUNCH PAYMENT,25,USD,2087.5,Food
2025-06-19,WWW.TACO BELL.COM,35,EUR,3122.0,Food
2025-12-07,NETFLIX PAYMENT,8035,JPY,4419.25,Entertainment
2024-09-26,NIKE PAYMENT,137,EUR,12220.4,Shopping
2025-07-29,HOSPITAL PAYMENT,1570,INR,1570,Health
2024-05-11,CHARITY PAYMENT,87,INR,87,General
2024-01-27,ZARA PAYMENT,96,GBP,10089.6,Shopping
2024-02-13,EMIRATES STORE,57,USD,4759.5,Transport
2024-02-10,CONSULTATION PAYMENT,14,EUR,1248.8,Health
2024-02-20,XBOX PAYMENT,66,EUR,5887.2,Entertainment
2025-10-22,NETMEDS PAYMENT,73,USD,6095.5,Health
2024-07-09,FRUITS PAYMENT,27,USD,2254.5,Food
2025-06-20,WWW.LATTE.COM,1464,JPY,805.2,Food
2024-01-29,HAIRCUT PAYMENT,6223,JPY,3422.65,General
2025-02-12,H&M PAYMENT,5593,JPY,3076.15,Shopping
2024-06-27,WWW.SUBWAY.COM,3294,JPY,1811.7,Food
2025-10-19,PETROL PAYMENT,91,GBP,9564.1,Transport
2024-01-21,ELECTRICITY BILL PAYMENT,33,EUR,2943.6,Utilities
2025-12-16,TRAIN TICKET PAYMENT,44,GBP,4624.4,Transport
2024-07-24,METRO CARD STORE,138,EUR,12309.6,Transport
2024-07-25,BP PUMP PAYMENT,13,EUR,1159.6,Transport
2024-07-03,PETROL PAYMENT,7,EUR,624.4,Transport
2024-12-29,ACT FIBERNET PAYMENT,3148,INR,3148,Utilities
2024-09-24,SPA PAYMENT,145,GBP,15239.5,General
2024-05-29,CLOTHES PAYMENT,5843,JPY,3213.65,Shopping
2025-11-12,DINNER PAYMENT,51,USD,4258.5,Food
2025-02-25,FRUITS PAYMENT,61,USD,5093.5,Food
2024-04-11,UPI-SUPERMARKET-7485,427,INR,427,Food
2025-03-10,PLAYSTATION PAYMENT,130,GBP,13663.0,Entertainment
2024-07-11,MCDONALDS PAYMENT,5,USD,417.5,Food
2025-01-03,UBER PAYMENT,9787,JPY,5382.85,Transport
2025-11-04,DOMINOS STORE,112,GBP,11771.2,Food
2024-11-09,DTH PAYMENT,4152,JPY,2283.6,Utilities
2025-05-10,BROADBAND PAYMENT,45,USD,3757.5,Utilities
2024-06-12,UPI-TABLETS-3117,3762,INR,3762,Health
2025-08-02,POWER BILL PAYMENT,137,GBP,14398.7,Utilities
2025-09-06,SHOES PAYMENT,52,EUR,4638.4,Shopping
2024-09-11,DINNER PAYMENT,132,EUR,11774.4,Food
2025-06-24,BISTRO PAYMENT,5203,JPY,2861.65,Food
2025-04-02,MYNTRA PAYMENT,509,INR,509,Shopping
2024-03-26,SEND MONEY PAYMENT,47,USD,3924.5,General
2024-07-28,SUPERMARKET PAYMENT,9288,JPY,5108.4,Food
2025-01-09,RAILWAY PAYMENT,130,GBP,13663.0,Transport
2025-08-04,GIFT PAYMENT,6716,JPY,3693.8,General
2025-12-02,HOSPITAL PAYMENT,131,EUR,11685.2,Health
2024-11-13,POS / CINEMA,705,JPY,387.75,Entertainment
2024-09-08,UPI-PRIME VIDEO-1684,7798,JPY,4288.9,Entertainment
2024-04-24,SHIRT PAYMENT,120,EUR,10704.0,Shopping
2025-05-23,TEA PAYMENT,82,USD,6847.0,Food
2025-09-27,DONATION STORE,113,EUR,10079.6,General
2024-07-22,ADIDAS PAYMENT,4159,INR,4159,Shopping
2024-08-11,THEATRE PAYMENT,787,INR,787,Entertainment
2025-05-07,LATTE PAYMENT,127,USD,10604.5,Food
2025-07-23,ACT FIBERNET PAYMENT,58,EUR,5173.6,Utilities
2024-02-13,DUNKIN PAYMENT,119,GBP,12506.9,Food
2025-05-11,SNACKS STORE,9524,JPY,5238.2,Food
2025-11-02,SHOPPING PAYMENT,97,EUR,8652.4,Shopping
2025-10-31,SPA PAYMENT,80,USD,6680.0,General
2024-01-13,POST OFFICE PAYMENT,52,USD,4342.0,General
2025-07-25,POWER BILL PAYMENT,25,GBP,2627.5,Utilities
2024-12-15,CAFE PAYMENT,1040,INR,1040,Food
2024-07-06,LAB TEST PAYMENT,141,EUR,12577.2,Health
2024-04-06,INTERNET STORE,57,EUR,5084.4,Utilities
2024-10-17,DUNKIN PAYMENT,136,USD,11356.0,Food
2024-10-20,ADIDAS PAYMENT,124,USD,10354.0,Shopping
2024-02-01,BAKERY PAYMENT,9064,JPY,4985.2,Food
2025-02-22,WWW.SWIGGY.COM,2825,INR,2825,Food
2024-03-28,ESPRESSO PAYMENT,86,GBP,9038.6,Food
2025-08-05,BURGER KING PAYMENT,144,USD,12024.0,Food
2024-03-06,OLA PAYMENT,22,USD,1837.0,Transport
2025-03-10,BLOOD TEST PAYMENT,2223,INR,2223,Health
2024-03-12,ADIDAS PAYMENT,3640,INR,3640,Shopping
2025-04-14,UBER PAYMENT,5637,JPY,3100.35,Transport
2025-11-10,STEAM PAYMENT,6,USD,501.0,Entertainment
2025-05-15,CAB PAYMENT,2211,JPY,1216.05,Transport
2024-12-09,DINER PAYMENT,76,GBP,7987.6,Food
2025-11-16,TABLETS PAYMENT,85,USD,7097.5,Health
2025-06-03,UPI-GIFT-5396,1219,INR,1219,General
2025-12-01,DENTIST PAYMENT,4508,JPY,2479.4,Health
2025-07-21,PETROL PAYMENT,9590,JPY,5274.5,Transport
